id,trial,name,response
4,3,Noah,10
4,3,Sunny,10
4,15,Whitney,10
4,15,Ari,10
4,15,Sloan,10
4,15,Max,10
4,9,Noah,10
4,9,Kris,10
4,9,Lake,10
4,9,Quinn,10
4,9,Cameron,10
4,13,Sunny,10
4,13,Skyler,10
4,13,Kris,10
4,11,Flynn,10
4,11,Brooklyn,10
4,11,Kirby,10
4,11,Oakley,10
4,4,Brook,10
4,4,Phoenix,10
4,4,Kirby,10
4,4,Quinn,10
4,4,Presley,10
4,14,Chandler,10
4,14,Hunter,10
4,14,Cameron,10
4,14,Addison,10
4,14,Indigo,10
4,21,Grey,10
4,21,Morgan,10
4,21,Avery,10
4,21,Phoenix,10
4,22,Indigo,10
4,22,Bryce,10
4,22,Lake,10
4,6,Cedar,10
4,6,Kris,10
4,6,Hunter,10
4,6,Morgan,10
4,10,Sage,10
4,10,Hunter,10
4,10,Quinn,10
4,10,Chandler,10
4,5,Sasha,10
4,5,Bryce,10
4,5,Kris,10
4,5,Jordan,10
4,20,Robin,10
4,20,Chandler,10
4,20,Sage,10
4,20,Emery,10
4,12,Skyler,10
4,12,Morgan,10
4,12,Hayden,10
4,2,Jordan,10
4,2,Cameron,10
4,2,Harley,10
4,2,Noah,10
4,23,Emery,10
4,23,Cameron,10
4,23,Harper,10
4,8,Kirby,10
4,8,Noah,10
4,8,Chandler,10
4,19,Kris,10
4,19,Riley,10
4,19,Blake,10
4,19,Cameron,10
4,19,Taylor,10
4,1,Robin,10
4,1,Avery,10
4,1,Sage,10
4,1,Hayden,10
4,1,River,10
4,18,Max,10
4,18,Sasha,10
4,18,Bryce,10
4,7,London,10
4,7,Blake,10
4,7,Alex,10
4,17,Hunter,10
4,17,Sage,10
4,17,Avery,10
4,16,Kris,10
4,16,Sage,10
4,16,Whitney,10
4,16,Emery,10
5,16,Kris,10
5,16,Sage,10
5,16,Whitney,10
5,16,Emery,10
5,13,Sunny,10
5,13,Skyler,10
5,13,Kris,10
5,1,Robin,10
5,1,Avery,10
5,1,Sage,10
5,1,Hayden,10
5,1,River,10
5,10,Sage,10
5,10,Hunter,10
5,10,Quinn,10
5,10,Chandler,10
5,19,Kris,10
5,19,Riley,10
5,19,Blake,10
5,19,Cameron,10
5,19,Taylor,10
5,14,Chandler,10
5,14,Hunter,10
5,14,Cameron,10
5,14,Addison,10
5,14,Indigo,10
5,21,Grey,10
5,21,Morgan,10
5,21,Avery,10
5,21,Phoenix,10
5,20,Robin,10
5,20,Chandler,10
5,20,Sage,10
5,20,Emery,10
5,11,Flynn,10
5,11,Brooklyn,10
5,11,Kirby,10
5,11,Oakley,10
5,5,Sasha,10
5,5,Bryce,10
5,5,Kris,10
5,5,Jordan,10
5,2,Jordan,10
5,2,Cameron,10
5,2,Harley,10
5,2,Noah,10
5,18,Max,10
5,18,Sasha,10
5,18,Bryce,10
5,6,Cedar,10
5,6,Kris,10
5,6,Hunter,10
5,6,Morgan,10
5,15,Whitney,10
5,15,Ari,10
5,15,Sloan,10
5,15,Max,10
5,4,Brook,10
5,4,Phoenix,10
5,4,Kirby,10
5,4,Quinn,10
5,4,Presley,10
5,8,Kirby,10
5,8,Noah,10
5,8,Chandler,10
5,17,Hunter,10
5,17,Sage,10
5,17,Avery,10
5,3,Grey,10
5,3,Noah,10
5,3,Sunny,10
5,12,Skyler,10
5,12,Morgan,10
5,12,Hayden,10
5,23,Emery,10
5,23,Cameron,10
5,23,Harper,10
5,9,Noah,10
5,9,Kris,10
5,9,Lake,10
5,9,Quinn,10
5,9,Cameron,10
5,7,London,10
5,7,Blake,10
5,7,Alex,10
5,22,Indigo,10
5,22,Bryce,10
5,22,Lake,10
6,20,Robin,9
6,20,Chandler,10
6,20,Sage,10
6,20,Emery,9
6,21,Grey,10
6,21,Morgan,9
6,21,Avery,10
6,21,Phoenix,10
6,10,Sage,9
6,10,Hunter,10
6,10,Quinn,10
6,10,Chandler,10
6,1,Robin,10
6,1,Avery,10
6,1,Sage,10
6,1,Hayden,10
6,1,River,10
6,4,Brook,9
6,4,Phoenix,9
6,4,Kirby,10
6,4,Quinn,10
6,4,Presley,10
6,19,Kris,10
6,19,Riley,9
6,19,Blake,10
6,19,Cameron,9
6,19,Taylor,10
6,8,Kirby,10
6,8,Noah,10
6,8,Chandler,10
6,5,Sasha,9
6,5,Bryce,9
6,5,Kris,10
6,5,Jordan,10
6,3,Grey,10
6,3,Noah,10
6,3,Sunny,10
6,15,Whitney,9
6,15,Ari,9
6,15,Sloan,9
6,15,Max,10
6,9,Noah,10
6,9,Kris,10
6,9,Lake,9
6,9,Quinn,10
6,9,Cameron,10
6,17,Hunter,9
6,17,Sage,10
6,17,Avery,9
6,14,Chandler,9
6,14,Hunter,10
6,14,Cameron,9
6,14,Addison,9
6,14,Indigo,10
6,11,Flynn,10
6,11,Brooklyn,10
6,11,Kirby,10
6,11,Oakley,10
6,12,Skyler,9
6,12,Morgan,10
6,12,Hayden,10
6,18,Max,9
6,18,Sasha,9
6,18,Bryce,10
6,6,Cedar,10
6,6,Kris,10
6,6,Hunter,10
6,6,Morgan,10
6,23,Emery,10
6,23,Cameron,10
6,23,Harper,9
6,7,London,9
6,7,Blake,9
6,7,Alex,10
6,13,Sunny,10
6,13,Skyler,10
6,13,Kris,10
6,22,Indigo,9
6,22,Bryce,10
6,22,Lake,9
6,16,Kris,10
6,16,Sage,10
6,16,Whitney,9
6,16,Emery,10
6,2,Jordan,10
6,2,Cameron,10
6,2,Harley,10
6,2,Noah,10
7,7,London,9
7,7,Blake,6
7,7,Alex,7
7,18,Max,8
7,18,Sasha,9
7,18,Bryce,6
7,19,Kris,6
7,19,Riley,7
7,19,Blake,6
7,19,Cameron,7
7,19,Taylor,6
7,9,Noah,6
