trial,name,observing,influencing,knows,vote,role,number_yes_votes,number_observers,follow_proportion,detailed_role,followers
1,Robin,0,0,,T,independent,5,NA,NA,independent,0
1,Avery,0,0,,T,independent,5,NA,NA,independent,0
1,Sage,0,0,,T,independent,5,NA,NA,independent,0
1,Hayden,0,0,,T,independent,5,NA,NA,independent,0
1,River,0,0,,T,independent,5,NA,NA,independent,0
2,Jordan,0,0,,T,independent,4,NA,NA,independent,0
2,Cameron,0,0,,T,independent,4,NA,NA,independent,0
2,Harley,0,0,,T,independent,4,NA,NA,independent,0
2,Lake,0,0,,F,independent,4,NA,NA,independent,0
2,Noah,0,0,,T,independent,4,NA,NA,independent,0
3,Cameron,0,0,,F,independent,3,NA,NA,independent,0
3,Ari,0,0,,F,independent,3,NA,NA,independent,0
3,Grey,0,0,,T,independent,3,NA,NA,independent,0
3,Noah,0,0,,T,independent,3,NA,NA,independent,0
3,Sunny,0,0,,T,independent,3,NA,NA,independent,0
4,Brook,1,0,,T,dependent,5,1,1,dependent,0
4,Phoenix,0,1,TRUE,T,root,5,1,1,root_knows,1
4,Kirby,0,0,,T,independent,5,1,1,independent,0
4,Quinn,0,0,,T,independent,5,1,1,independent,0
4,Presley,0,0,,T,independent,5,1,1,independent,0
5,Sasha,1,0,,T,dependent,4,1,1,dependent,0
5,Bryce,0,1,TRUE,T,root,4,1,1,root_knows,1
5,Kris,0,0,,T,independent,4,1,1,independent,0
5,Chandler,0,0,,F,independent,4,1,1,independent,0
5,Jordan,0,0,,T,independent,4,1,1,independent,0
6,Cedar,0,0,,T,independent,4,1,0,independent,0
6,Kris,0,0,,T,independent,4,1,0,independent,0
6,Hunter,0,1,TRUE,T,root,4,1,0,root_knows,0
6,Whitney,1,0,,F,dependent,4,1,0,dependent,0
6,Morgan,0,0,,T,independent,4,1,0,independent,0
7,Whitney,0,0,,F,independent,3,1,1,independent,0
7,London,0,1,TRUE,T,root,3,1,1,root_knows,1
7,Blake,0,0,,T,independent,3,1,1,independent,0
7,Alex,1,0,,T,dependent,3,1,1,dependent,0
7,Max,0,0,,F,independent,3,1,1,independent,0
8,Max,1,0,,F,dependent,3,1,0,dependent,0
8,Kirby,0,0,,T,independent,3,1,0,independent,0
8,Noah,0,1,TRUE,T,root,3,1,0,root_knows,0
8,Bryce,0,0,,F,independent,3,1,0,independent,0
8,Chandler,0,0,,T,independent,3,1,0,independent,0
9,Noah,0,1,FALSE,T,root,5,1,1,root_doesn't_know,1
9,Kris,0,0,,T,independent,5,1,1,independent,0
9,Lake,1,0,,T,dependent,5,1,1,dependent,0
9,Quinn,0,0,,T,independent,5,1,1,independent,0
9,Cameron,0,0,,T,independent,5,1,1,independent,0
10,Sage,1,0,,T,dependent,4,1,1,dependent,0
10,Hunter,0,0,,T,independent,4,1,1,independent,0
10,Quinn,0,1,FALSE,T,root,4,1,1,root_doesn't_know,1
10,Chandler,0,0,,T,independent,4,1,1,independent,0
10,Bryce,0,0,,F,independent,4,1,1,independent,0
11,Quinn,1,0,,F,dependent,4,1,0,dependent,0
11,Flynn,0,0,,T,independent,4,1,0,independent,0
11,Brooklyn,0,1,FALSE,T,root,4,1,0,root_doesn't_know,0
11,Kirby,0,0,,T,independent,4,1,0,independent,0
11,Oakley,0,0,,T,independent,4,1,0,independent,0
12,Darcy,0,0,,F,independent,3,1,1,independent,0
12,Skyler,1,0,,T,dependent,3,1,1,dependent,0
12,Morgan,0,1,FALSE,T,root,3,1,1,root_doesn't_know,1
12,Noah,0,0,,F,independent,3,1,1,independent,0
12,Hayden,0,0,,T,independent,3,1,1,independent,0
13,London,0,0,,F,independent,3,1,0,independent,0
13,Max,1,0,,F,dependent,3,1,0,dependent,0
13,Sunny,0,0,,T,independent,3,1,0,independent,0
13,Skyler,0,0,,T,independent,3,1,0,independent,0
13,Kris,0,1,FALSE,T,root,3,1,0,root_doesn't_know,0
14,Chandler,0,2,TRUE,T,root,5,2,1,root_knows,2
14,Hunter,0,0,,T,independent,5,2,1,independent,0
14,Cameron,1,0,,T,dependent,5,2,1,dependent,0
14,Addison,1,0,,T,dependent,5,2,1,dependent,0
14,Indigo,0,0,,T,independent,5,2,1,independent,0
15,Whitney,0,2,TRUE,T,root,4,2,1,root_knows,2
15,Ari,1,0,,T,dependent,4,2,1,dependent,0
15,Sloan,1,0,,T,dependent,4,2,1,dependent,0
15,Max,0,0,,T,independent,4,2,1,independent,0
15,Harper,0,0,,F,independent,4,2,1,independent,0
16,Kris,0,0,,T,independent,4,2,0.5,independent,0
16,Phoenix,1,0,,F,dependent,4,2,0.5,dependent,0
16,Sage,0,2,TRUE,T,root,4,2,0.5,root_knows,1
16,Whitney,1,0,,T,dependent,4,2,0.5,dependent,0
16,Emery,0,0,,T,independent,4,2,0.5,independent,0
17,Hunter,1,0,,T,dependent,3,2,1,dependent,0
17,Sage,0,2,TRUE,T,root,3,2,1,root_knows,2
17,Avery,1,0,,T,dependent,3,2,1,dependent,0
17,Addison,0,0,,F,independent,3,2,1,independent,0
17,Max,0,0,,F,independent,3,2,1,independent,0
18,Atlas,1,0,,F,dependent,3,2,0.5,dependent,0
18,Max,1,0,,T,dependent,3,2,0.5,dependent,0
18,Harper,0,0,,F,independent,3,2,0.5,independent,0
18,Sasha,0,2,TRUE,T,root,3,2,0.5,root_knows,1
18,Bryce,0,0,,T,independent,3,2,0.5,independent,0
19,Kris,0,0,,T,independent,5,2,1,independent,0
19,Riley,1,0,,T,dependent,5,2,1,dependent,0
19,Blake,0,2,FALSE,T,root,5,2,1,root_doesn't_know,2
19,Cameron,1,0,,T,dependent,5,2,1,dependent,0
19,Taylor,0,0,,T,independent,5,2,1,independent,0
20,Robin,1,0,,T,dependent,4,2,1,dependent,0
20,Chandler,0,2,FALSE,T,root,4,2,1,root_doesn't_know,2
20,Max,0,0,,F,independent,4,2,1,independent,0
20,Sage,0,0,,T,independent,4,2,1,independent,0
20,Emery,1,0,,T,dependent,4,2,1,dependent,0
21,Grey,0,0,,T,independent,4,2,0.5,independent,0
21,Blake,1,0,,F,dependent,4,2,0.5,dependent,0
21,Morgan,1,0,,T,dependent,4,2,0.5,dependent,0
21,Avery,0,0,,T,independent,4,2,0.5,independent,0
21,Phoenix,0,2,FALSE,T,root,4,2,0.5,root_doesn't_know,1
22,Indigo,1,0,,T,dependent,3,2,1,dependent,0
22,Alex,0,0,,F,independent,3,2,1,independent,0
22,Bryce,1,0,,T,dependent,3,2,1,dependent,0
22,Lake,0,2,FALSE,T,root,3,2,1,root_doesn't_know,2
22,River,0,0,,F,independent,3,2,1,independent,0
23,Hunter,0,0,,F,independent,3,2,0.5,independent,0
23,Emery,0,0,,T,independent,3,2,0.5,independent,0
23,Avery,1,0,,F,dependent,3,2,0.5,dependent,0
23,Cameron,0,2,FALSE,T,root,3,2,0.5,root_doesn't_know,1
23,Harper,1,0,,T,dependent,3,2,0.5,dependent,0
