trial,name,number_of_dependents,role,influencing,vote,is_independent,number_yes,number_observers,follow_proportion
1,A,0,independent,0,T,1,5,NA,NA
1,B,0,independent,0,T,1,5,NA,NA
1,C,0,independent,0,T,1,5,NA,NA
1,D,0,independent,0,T,1,5,NA,NA
1,E,0,independent,0,T,1,5,NA,NA
2,A,0,independent,0,T,1,4,NA,NA
2,B,0,independent,0,T,1,4,NA,NA
2,C,0,independent,0,T,1,4,NA,NA
2,D,0,independent,0,T,1,4,NA,NA
2,E,0,independent,0,F,1,4,NA,NA
3,A,0,independent,0,T,1,3,NA,NA
3,B,0,independent,0,T,1,3,NA,NA
3,C,0,independent,0,T,1,3,NA,NA
3,D,0,independent,0,F,1,3,NA,NA
3,E,0,independent,0,F,1,3,NA,NA
4,A,1,root,1,T,0,5,1,1
4,B,0,independent,0,T,1,5,1,1
4,C,0,independent,0,T,1,5,1,1
4,D,0,dependent,0,T,0,5,1,1
4,E,0,independent,0,T,1,5,1,1
5,A,0,independent,0,T,1,4,1,1
5,B,1,root,1,T,0,4,1,1
5,C,0,dependent,0,T,0,4,1,1
5,D,0,independent,0,F,1,4,1,1
5,E,0,independent,0,T,1,4,1,1
6,A,0,dependent,0,F,0,4,1,0
6,B,0,independent,0,T,1,4,1,0
6,C,1,root,1,T,0,4,1,0
6,D,0,independent,0,T,1,4,1,0
6,E,0,independent,0,T,1,4,1,0
7,A,1,root,1,T,0,3,1,1
7,B,0,independent,0,T,1,3,1,1
7,C,0,independent,0,F,1,3,1,1
7,D,0,dependent,0,T,0,3,1,1
7,E,0,independent,0,F,1,3,1,1
8,A,1,root,1,T,0,3,1,0
8,B,0,dependent,0,F,0,3,1,0
8,C,0,independent,0,F,1,3,1,0
8,D,0,independent,0,T,1,3,1,0
8,E,0,independent,0,T,1,3,1,0
9,A,0,independent,0,T,1,5,2,1
9,B,0,dependent,0,T,0,5,2,1
9,C,2,root,1,T,0,5,2,1
9,D,0,dependent,0,T,0,5,2,1
9,E,0,independent,0,T,1,5,2,1
10,A,0,dependent,0,T,0,4,2,1
10,B,0,independent,0,T,1,4,2,1
10,C,0,dependent,0,T,0,4,2,1
10,D,0,independent,0,F,1,4,2,1
10,E,2,root,1,T,0,4,2,1
11,A,0,dependent,0,T,0,4,2,0.5
11,B,0,dependent,0,F,0,4,2,0.5
11,C,2,root,1,T,0,4,2,0.5
11,D,0,independent,0,T,1,4,2,0.5
11,E,0,independent,0,T,1,4,2,0.5
12,A,2,root,1,T,0,3,2,1
12,B,0,dependent,0,T,0,3,2,1
12,C,0,dependent,0,T,0,3,2,1
12,D,0,independent,0,F,1,3,2,1
12,E,0,independent,0,F,1,3,2,1
13,A,0,independent,0,T,1,3,2,0
13,B,0,dependent,0,F,0,3,2,0
13,C,0,dependent,0,F,0,3,2,0
13,D,2,root,1,T,0,3,2,0
13,E,0,independent,0,T,1,3,2,0
14,A,2,root,1,T,0,3,2,0.5
14,B,0,dependent,0,F,0,3,2,0.5
14,C,0,dependent,0,T,0,3,2,0.5
14,D,0,independent,0,F,1,3,2,0.5
14,E,0,independent,0,T,1,3,2,0.5
