id,trial,name,response
1,17,Hunter,6
1,17,Sage,8
1,17,Avery,6
1,11,Quinn,6
1,11,Brooklyn,8
1,11,Kirby,6
1,11,Oakley,6
1,20,Chandler,9
1,20,Max,8
1,20,Sage,8
1,20,Emery,8
1,7,Whitney,8
1,7,London,9
1,7,Blake,8
1,7,Max,8
1,15,Whitney,9
1,15,Sloan,8
1,15,Harper,8
1,6,Cedar,8
1,6,Kris,8
1,6,Whitney,8
1,6,Morgan,8
1,19,Kris,8
1,19,Cameron,8
1,19,Taylor,8
1,9,Kris,9
1,9,Quinn,9
1,9,Cameron,9
1,10,Sage,9
1,10,Quinn,10
1,10,Chandler,9
1,12,Darcy,9
1,12,Skyler,9
1,12,Morgan,10
1,12,Noah,9
1,12,Hayden,9
1,18,Atlas,8
1,18,Harper,8
1,18,Sasha,9
1,18,Bryce,8
1,8,Max,9
1,8,Noah,10
1,8,Bryce,9
1,16,Phoenix,9
1,16,Sage,10
1,16,Whitney,9
1,1,Robin,8
1,1,Avery,8
1,1,Sage,8
1,1,Hayden,8
1,1,River,8
1,2,Jordan,8
1,2,Cameron,8
1,2,Harley,8
1,3,Cameron,9
1,3,Ari,9
1,3,Noah,9
1,3,Sunny,9
1,13,London,9
1,13,Max,9
1,13,Skyler,9
1,13,Kris,10
1,4,Brook,8
1,4,Phoenix,9
1,4,Kirby,8
1,4,Quinn,8
1,4,Presley,8
1,14,Hunter,8
1,14,Cameron,9
1,14,Addison,9
1,14,Indigo,8
1,5,Sasha,9
1,5,Bryce,10
1,5,Kris,9
1,5,Chandler,9
2,8,Max,3
2,8,Noah,5
2,8,Bryce,3
2,2,Jordan,3
2,2,Cameron,3
2,2,Harley,3
2,12,Darcy,1
2,12,Skyler,1
2,12,Morgan,4
2,12,Noah,1
2,12,Hayden,1
2,9,Kris,3
2,9,Quinn,3
2,9,Cameron,3
2,6,Cedar,2
2,6,Kris,2
2,6,Whitney,2
2,6,Morgan,2
2,3,Cameron,2
2,3,Ari,2
2,3,Noah,2
2,3,Sunny,2
2,15,Whitney,3
2,15,Sloan,2
2,15,Harper,2
2,5,Sasha,2
2,5,Bryce,3
2,5,Kris,2
2,5,Chandler,2
2,19,Kris,2
2,19,Cameron,2
2,19,Taylor,2
2,11,Quinn,2
2,11,Brooklyn,4
2,11,Kirby,2
2,11,Oakley,2
2,14,Hunter,2
2,14,Cameron,2
2,14,Addison,2
2,14,Indigo,2
2,16,Phoenix,2
2,16,Sage,4
2,16,Whitney,2
2,4,Brook,2
2,4,Phoenix,4
2,4,Kirby,2
2,4,Quinn,2
2,4,Presley,2
2,20,Chandler,3
2,20,Max,2
2,20,Sage,2
2,20,Emery,2
2,7,Whitney,2
2,7,London,5
2,7,Blake,2
2,7,Max,2
2,13,London,2
2,13,Max,2
2,13,Skyler,2
2,13,Kris,5
2,18,Atlas,2
2,18,Harper,2
2,18,Sasha,4
2,18,Bryce,2
2,1,Robin,2
2,1,Avery,2
2,1,Sage,2
2,1,Hayden,2
2,1,River,2
2,17,Hunter,2
2,17,Sage,5
2,17,Avery,2
2,10,Sage,2
2,10,Quinn,5
2,10,Chandler,2
3,19,Kris,7
3,19,Cameron,7
3,19,Taylor,7
3,3,Cameron,7
3,3,Ari,7
3,3,Noah,7
3,3,Sunny,7
3,13,London,8
3,13,Max,8
3,13,Skyler,8
3,13,Kris,10
3,17,Hunter,8
3,17,Sage,10
3,17,Avery,8
3,4,Brook,7
3,4,Phoenix,8
3,4,Kirby,7
3,4,Quinn,7
3,4,Presley,7
3,8,Max,9
3,8,Noah,9
3,8,Bryce,8
3,6,Cedar,7
3,6,Kris,7
3,6,Whitney,9
3,6,Morgan,7
3,15,Whitney,9
3,15,Sloan,8
3,15,Harper,7
3,10,Sage,8
3,10,Quinn,9
3,10,Chandler,7
3,9,Kris,7
3,9,Quinn,7
3,9,Cameron,7
3,11,Quinn,9
3,11,Brooklyn,9
3,11,Kirby,8
3,11,Oakley,8
3,12,Darcy,8
3,12,Skyler,9
3,12,Morgan,10
3,12,Noah,8
3,12,Hayden,9
3,14,Hunter,8
3,14,Cameron,9
3,14,Addison,9
3,14,Indigo,8
3,7,Whitney,7
3,7,London,5
3,7,Blake,7
3,7,Max,7
3,1,Robin,8
3,1,Avery,8
3,1,Sage,8
3,1,Hayden,8
3,1,River,8
3,2,Jordan,8
3,2,Cameron,8
3,2,Harley,8
3,20,Chandler,9
3,20,Max,7
3,20,Sage,7
3,20,Emery,8
3,5,Sasha,8
3,5,Bryce,9
3,5,Kris,8
3,5,Chandler,8
3,16,Phoenix,10
3,16,Sage,9
3,16,Whitney,9
3,18,Atlas,8
3,18,Harper,7
3,18,Sasha,9
3,18,Bryce,7
4,7,Whitney,10
4,7,London,10
4,7,Blake,10
4,7,Max,10
4,12,Darcy,10
4,12,Skyler,10
